"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"6052.259999909438","consent_form.html","external-html","0","6158","0.0-0.0","","","","","",""
"36837.39500003867","instructions.html","external-html","1","43077","0.0-1.0","","","","","",""
"4638.345000101253","","survey-text","2","47721","0.0-2.0","{""Q0"":""English""}","","","","",""
"5049.950000015087","","html-button-response","3","52774","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2791.404999908991","","audio-button-response","4","55568","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1066.6049999417737","","html-button-response","5","56637","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","56638","0.0-6.0","","","","","",""
"","","call-function","7","56638","0.0-7.0","","","","","",""
"2673.5650000628084","","audio-button-response","8","59313","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1079.8549999017268","","html-button-response","9","60395","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"5487.459999974817","","survey-text","10","65886","0.0-10.0","{""Q0"":""5c48a4c6416c110001e9434f""}","","","","",""
"","","survey-text","10","65886","0.0-10.0","","","","","5",""
"1703.2899999758229","","html-button-response","11","67591","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","68094","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","68095","0.0-13.0","","stimulus/mp/phrase_mix_13.wav,stimulus/mp/phrase_mix_12.wav,stimulus/rr/rrrr_11.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/an/ANAN_10.wav,stimulus/rr/rrrr_13.wav,stimulus/rr/rrrr_12.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_13.wav,stimulus/probes/rrrr_17.wav,stimulus/an/ANAN_12.wav,stimulus/an/ANAN_11.wav,stimulus/mp/phrase_mix_11.wav","","","",""
"","","call-function","13","68095","0.0-13.0","","","","","",""
"null","","audio-button-response","14","84727","0.0-14.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"3673.7499999580905","","html-keyboard-response","15","88403","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","88654","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","105286","0.0-17.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"1864.7499999497086","","html-keyboard-response","18","107152","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","19","107404","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","124036","0.0-20.0","","stimulus/rr/rrrr_11.wav","null","","",""
"2079.3350000167266","","html-keyboard-response","21","126117","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","126368","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","143006","0.0-23.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1397.980000008829","","html-keyboard-response","24","144405","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","144657","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","161297","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"1617.5500000827014","","html-keyboard-response","27","162915","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","163166","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","179806","0.0-29.0","","stimulus/an/ANAN_10.wav","null","","",""
"1214.4850000040606","","html-keyboard-response","30","181022","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","181274","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","197906","0.0-32.0","","stimulus/rr/rrrr_13.wav","null","","",""
"6074.140000040643","","html-keyboard-response","33","203981","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","34","204233","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","220866","0.0-35.0","","stimulus/rr/rrrr_12.wav","null","","",""
"2350.495000020601","","html-keyboard-response","36","223217","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","223468","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","240106","0.0-38.0","","stimulus/rr/rrrr_10.wav","null","","",""
"491.7350000469014","","html-keyboard-response","39","240599","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","40","240851","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","257486","0.0-41.0","","stimulus/an/ANAN_13.wav","null","","",""
"552.8199999826029","","html-keyboard-response","42","258040","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","258291","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","274926","0.0-44.0","","stimulus/probes/rrrr_17.wav","null","","",""
"990.334999980405","","html-keyboard-response","45","275917","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","46","276169","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","292806","0.0-47.0","","stimulus/an/ANAN_12.wav","null","","",""
"1219.760000007227","","html-keyboard-response","48","294026","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","294278","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","310916","0.0-50.0","","stimulus/an/ANAN_11.wav","null","","",""
"3142.710000043735","","html-keyboard-response","51","314060","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
