"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"17219.055000226945","consent_form.html","external-html","0","17285","0.0-0.0","","","","","",""
"31468.890000134706","instructions.html","external-html","1","48873","0.0-1.0","","","","","",""
"5994.090000167489","","survey-text","2","54876","0.0-2.0","{""Q0"":""English""}","","","","",""
"7309.594999998808","","html-button-response","3","62189","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"8141.844999976456","","audio-button-response","4","70335","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1619.2449999507517","","html-button-response","5","71956","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","71957","0.0-6.0","","","","","",""
"","","call-function","7","71958","0.0-7.0","","","","","",""
"2121.29499996081","","audio-button-response","8","74081","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1336.9099998380989","","html-button-response","9","75420","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"13147.58999994956","","survey-text","10","88572","0.0-10.0","{""Q0"":""5e643f7e142c3c1cb0dcfc45""}","","","","",""
"","","survey-text","10","88572","0.0-10.0","","","","","1",""
"1829.8250001389533","","html-button-response","11","90404","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","90908","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","90910","0.0-13.0","","stimulus/mp/phrase_mix_10.wav,stimulus/mp/phrase_mix_13.wav,stimulus/mp/phrase_mix_12.wav,stimulus/an/ANAN_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/an/ANAN_13.wav,stimulus/an/ANAN_12.wav,stimulus/mp/phrase_mix_11.wav,stimulus/rr/rrrr_12.wav,stimulus/rr/rrrr_13.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_11.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_11.wav","","","",""
"","","call-function","13","90910","0.0-13.0","","","","","",""
"null","","audio-button-response","14","107549","0.0-14.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"13498.185000149533","","html-keyboard-response","15","121049","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","121308","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","137948","0.0-17.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1270.9949999116361","","html-keyboard-response","18","139220","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","19","139476","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","156108","0.0-20.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"1386.8150000926107","","html-keyboard-response","21","157496","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","157756","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","174387","0.0-23.0","","stimulus/an/ANAN_10.wav","null","","",""
"1986.9599998928607","","html-keyboard-response","24","176375","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","25","176631","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","193266","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"1141.2449998315424","","html-keyboard-response","27","194408","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","194665","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","211297","0.0-29.0","","stimulus/an/ANAN_13.wav","null","","",""
"1913.7949999421835","","html-keyboard-response","30","213212","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","31","213475","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","230107","0.0-32.0","","stimulus/an/ANAN_12.wav","null","","",""
"1481.7850000690669","","html-keyboard-response","33","231589","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","34","231845","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","248477","0.0-35.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1377.0149999763817","","html-keyboard-response","36","249855","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","250114","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","266746","0.0-38.0","","stimulus/rr/rrrr_12.wav","null","","",""
"2727.510000113398","","html-keyboard-response","39","269474","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","40","269734","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","286367","0.0-41.0","","stimulus/rr/rrrr_13.wav","null","","",""
"1248.7800000235438","","html-keyboard-response","42","287617","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","287884","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","304516","0.0-44.0","","stimulus/probes/rrrr_17.wav","null","","",""
"1922.4249999970198","","html-keyboard-response","45","306439","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","46","306704","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","323337","0.0-47.0","","stimulus/rr/rrrr_11.wav","null","","",""
"1314.2899998929352","","html-keyboard-response","48","324652","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","49","324904","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","341536","0.0-50.0","","stimulus/rr/rrrr_10.wav","null","","",""
"1035.8200001064688","","html-keyboard-response","51","342573","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","52","342825","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","359457","0.0-53.0","","stimulus/an/ANAN_11.wav","null","","",""
"1208.1750000361353","","html-keyboard-response","54","360666","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"1981.7049999255687","","html-button-response","55","362648","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"2775.4949999507517","","html-keyboard-response","56","365424","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","89"
"27659.015000099316","","survey-text","57","393092","0.0-57.0","{""Q0"":""fat girl, large thing, shy wife""}","","","","",""
"83087.76000002399","","survey-text","58","476182","0.0-58.0","{""Q0"":""I remember the words fat, girl, man, old, thin, lamp, large, thing, frog, shy, and, this""}","","","","",""
"259685.86499989033","","survey-text","59","735871","0.0-59.0","{""Q0"":""For the most part, the experiment was quite straightforward. The instructions in the beginning were very clear. However, I think it would have been slightly easier to follow if the voice recording was of an actual person rather than the Google Translate voice.""}","","","","",""
