"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"14513.97500000894","consent_form.html","external-html","0","14563","0.0-0.0","","","","","",""
"47188.504999969155","instructions.html","external-html","1","61841","0.0-1.0","","","","","",""
"6674.635000061244","","survey-text","2","68521","0.0-2.0","{""Q0"":""english""}","","","","",""
"7045.535000041127","","html-button-response","3","75569","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2929.1250000242144","","audio-button-response","4","78501","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"922.4549999926239","","html-button-response","5","79425","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","79426","0.0-6.0","","","","","",""
"","","call-function","7","79427","0.0-7.0","","","","","",""
"1810.6199998874217","","audio-button-response","8","81239","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1770.530000096187","","html-button-response","9","83011","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"3543.2700000237674","","survey-text","10","86557","0.0-10.0","{""Q0"":""5c897a3eafd58300172d2733""}","","","","",""
"","","survey-text","10","86557","0.0-10.0","","","","","8",""
"1937.3999999370426","","html-button-response","11","88496","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","88999","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","89000","0.0-13.0","","stimulus/mp/phrase_mix_11.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_12.wav,stimulus/an/ANAN_11.wav,stimulus/probes/rrrr_17.wav,stimulus/an/ANAN_10.wav,stimulus/mp/phrase_mix_12.wav,stimulus/mp/phrase_mix_13.wav,stimulus/mp/phrase_mix_10.wav,stimulus/rr/rrrr_12.wav,stimulus/probes/ANAN_89.wav,stimulus/an/ANAN_13.wav,stimulus/rr/rrrr_13.wav,stimulus/rr/rrrr_10.wav","","","",""
"","","call-function","13","89000","0.0-13.0","","","","","",""
"null","","audio-button-response","14","105640","0.0-14.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"2234.965000068769","","html-keyboard-response","15","107877","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","108130","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","124769","0.0-17.0","","stimulus/rr/rrrr_11.wav","null","","",""
"664.3950000870973","","html-keyboard-response","18","125435","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","125686","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","142319","0.0-20.0","","stimulus/an/ANAN_12.wav","null","","",""
"577.7000000234693","","html-keyboard-response","21","142898","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","143150","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","159789","0.0-23.0","","stimulus/an/ANAN_11.wav","null","","",""
"472.89000009186566","","html-keyboard-response","24","160263","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","160515","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","177149","0.0-26.0","","stimulus/probes/rrrr_17.wav","null","","",""
"1503.9300001226366","","html-keyboard-response","27","178654","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","28","178906","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","195539","0.0-29.0","","stimulus/an/ANAN_10.wav","null","","",""
"2100.0399999320507","","html-keyboard-response","30","197640","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","197892","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","214529","0.0-32.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"370.88499986566603","","html-keyboard-response","33","214901","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","34","215153","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","231789","0.0-35.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1400.7800000254065","","html-keyboard-response","36","233190","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","233443","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","250079","0.0-38.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1346.034999936819","","html-keyboard-response","39","251426","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","251680","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","268319","0.0-41.0","","stimulus/rr/rrrr_12.wav","null","","",""
"407.5650000013411","","html-keyboard-response","42","268728","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","268980","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","285620","0.0-44.0","","stimulus/probes/ANAN_89.wav","null","","",""
"1448.595000198111","","html-keyboard-response","45","287069","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","46","287321","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","303959","0.0-47.0","","stimulus/an/ANAN_13.wav","null","","",""
"1366.6300000622869","","html-keyboard-response","48","305327","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","305580","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","322219","0.0-50.0","","stimulus/rr/rrrr_13.wav","null","","",""
"1533.0799999646842","","html-keyboard-response","51","323753","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","324005","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","340639","0.0-53.0","","stimulus/rr/rrrr_10.wav","null","","",""
"1208.125000121072","","html-keyboard-response","54","341848","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"4418.094999855384","","html-button-response","55","346268","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"3849.204999860376","","html-keyboard-response","56","350119","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","89"
"17481.675000162795","","survey-text","57","367619","0.0-57.0","{""Q0"":""thin frog fat dog""}","","","","",""
"9727.084999904037","","survey-text","58","377349","0.0-58.0","{""Q0"":""no""}","","","","",""
"7330.589999910444","","survey-text","59","384683","0.0-59.0","{""Q0"":""no""}","","","","",""
