"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"8621.595000000525","consent_form.html","external-html","0","8649","0.0-0.0","","","","","",""
"34180.780000000595","instructions.html","external-html","1","42907","0.0-1.0","","","","","",""
"4239.919999999984","","survey-text","2","47157","0.0-2.0","{""Q0"":""english""}","","","","",""
"6597.615000000587","","html-button-response","3","53757","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"1647.7000000013504","","audio-button-response","4","55408","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1389.9949999995442","","html-button-response","5","56799","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","56800","0.0-6.0","","","","","",""
"","","call-function","7","56801","0.0-7.0","","","","","",""
"1201.404999999795","","audio-button-response","8","58003","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"725.0199999998586","","html-button-response","9","58730","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"7182.584999998653","","survey-text","10","65915","0.0-10.0","{""Q0"":""5b59ea857ac6d70001aae449""}","","","","",""
"","","survey-text","10","65916","0.0-10.0","","","","","6",""
"3006.9299999995565","","html-button-response","11","68924","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","69428","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","69429","0.0-13.0","","stimulus/an/ANAN_10.wav,stimulus/an/ANAN_12.wav,stimulus/mp/phrase_mix_11.wav,stimulus/an/ANAN_11.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_12.wav,stimulus/mp/phrase_mix_10.wav,stimulus/rr/rrrr_13.wav,stimulus/an/ANAN_13.wav,stimulus/rr/rrrr_10.wav,stimulus/probes/ANAN_89.wav,stimulus/mp/phrase_mix_13.wav,stimulus/rr/rrrr_11.wav,stimulus/mp/phrase_mix_12.wav","","","",""
"","","call-function","13","69429","0.0-13.0","","","","","",""
"null","","audio-button-response","14","86071","0.0-14.0","","stimulus/an/ANAN_10.wav","null","","",""
"5233.915000000707","","html-keyboard-response","15","91307","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","16","91562","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","108205","0.0-17.0","","stimulus/an/ANAN_12.wav","null","","",""
"2632.545000000391","","html-keyboard-response","18","110838","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","111090","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","127733","0.0-20.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1209.2850000008184","","html-keyboard-response","21","128943","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","129196","0.0-22.0","","<html></html>","null","","",""
