"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"4087.315000128001","consent_form.html","external-html","0","4123","0.0-0.0","","","","","",""
"26656.764999963343","instructions.html","external-html","1","30819","0.0-1.0","","","","","",""
"6218.455000082031","","survey-text","2","37042","0.0-2.0","{""Q0"":""English""}","","","","",""
"3857.950000092387","","html-button-response","3","40902","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2377.5849998928607","","audio-button-response","4","43282","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1358.5099999327213","","html-button-response","5","44641","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","44642","0.0-6.0","","","","","",""
"","","call-function","7","44642","0.0-7.0","","","","","",""
"1984.215000178665","","audio-button-response","8","46628","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1297.2150000277907","","html-button-response","9","47926","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"2154.469999950379","","survey-text","10","50082","0.0-10.0","{""Q0"":""597cfa6240ffde000164484c""}","","","","",""
"","","survey-text","10","50083","0.0-10.0","","","","","7",""
"2333.7950001005083","","html-button-response","11","52417","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","52920","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","52921","0.0-13.0","","stimulus/mp/phrase_mix_11.wav,stimulus/rr/rrrr_10.wav,stimulus/rr/rrrr_11.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/an/ANAN_11.wav,stimulus/an/ANAN_10.wav,stimulus/an/ANAN_12.wav,stimulus/rr/rrrr_12.wav,stimulus/rr/rrrr_13.wav,stimulus/probes/ANAN_89.wav,stimulus/an/ANAN_13.wav,stimulus/mp/phrase_mix_12.wav,stimulus/mp/phrase_mix_13.wav","","","",""
"","","call-function","13","52922","0.0-13.0","","","","","",""
"null","","audio-button-response","14","69560","0.0-14.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1139.8599999956787","","html-keyboard-response","15","70702","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","70954","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","87591","0.0-17.0","","stimulus/rr/rrrr_10.wav","null","","",""
"734.4049999956042","","html-keyboard-response","18","88327","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","88579","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","105211","0.0-20.0","","stimulus/rr/rrrr_11.wav","null","","",""
"3513.6700000148267","","html-keyboard-response","21","108726","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","108977","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","125612","0.0-23.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1562.4700000043958","","html-keyboard-response","24","127175","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","127426","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","144061","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"1748.6199999693781","","html-keyboard-response","27","145811","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","28","146063","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","162701","0.0-29.0","","stimulus/an/ANAN_11.wav","null","","",""
"1199.1449999623","","html-keyboard-response","30","163901","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","164154","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","180791","0.0-32.0","","stimulus/an/ANAN_10.wav","null","","",""
"1247.715000063181","","html-keyboard-response","33","182040","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","34","182293","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","198930","0.0-35.0","","stimulus/an/ANAN_12.wav","null","","",""
"1208.199999993667","","html-keyboard-response","36","200139","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","200391","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","217031","0.0-38.0","","stimulus/rr/rrrr_12.wav","null","","",""
"1179.5449999626726","","html-keyboard-response","39","218212","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","218464","0.0-40.0","","<html></html>","null","","",""
