"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"8227.225000038743","consent_form.html","external-html","0","8264","0.0-0.0","","","","","",""
"2274.07499961555","instructions.html","external-html","1","10594","0.0-1.0","","","","","",""
"3169.850000180304","","survey-text","2","13769","0.0-2.0","{""Q0"":""english""}","","","","",""
"4520.690000150353","","html-button-response","3","18293","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2032.4399997480214","","audio-button-response","4","20328","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1104.0149996988475","","html-button-response","5","21433","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","21435","0.0-6.0","","","","","",""
"","","call-function","7","21435","0.0-7.0","","","","","",""
"1763.4649998508394","","audio-button-response","8","23200","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"804.2049999348819","","html-button-response","9","24006","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"8393.649999983609","","survey-text","10","32402","0.0-10.0","{""Q0"":""5c6472bca443b30001e300ae""}","","","","",""
"","","survey-text","10","32403","0.0-10.0","","","","","9",""
"902.5049996562302","","html-button-response","11","33307","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","33809","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","33809","0.0-13.0","","stimulus/mp/phrase_mix_13.wav,stimulus/rr/rrrr_12.wav,stimulus/mp/phrase_mix_10.wav,stimulus/mp/phrase_mix_12.wav,stimulus/probes/ANAN_89.wav,stimulus/an/ANAN_13.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_13.wav,stimulus/an/ANAN_12.wav,stimulus/mp/phrase_mix_11.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_10.wav,stimulus/rr/rrrr_11.wav","","","",""
"","","call-function","13","33809","0.0-13.0","","","","","",""
"null","","audio-button-response","14","50440","0.0-14.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"6406.415000092238","","html-keyboard-response","15","56849","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","16","57101","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","73740","0.0-17.0","","stimulus/rr/rrrr_12.wav","null","","",""
"2734.5599997788668","","html-keyboard-response","18","76475","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","76726","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","93360","0.0-20.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"4796.804999932647","","html-keyboard-response","21","98158","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","98410","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","115050","0.0-23.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"1422.1250000409782","","html-keyboard-response","24","116473","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","116725","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","133360","0.0-26.0","","stimulus/probes/ANAN_89.wav","null","","",""
"1819.5150000974536","","html-keyboard-response","27","135180","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","135433","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","152280","0.0-29.0","","stimulus/an/ANAN_13.wav","null","","",""
"2482.0199999958277","","html-keyboard-response","30","154763","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","155015","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","171661","0.0-32.0","","stimulus/an/ANAN_11.wav","null","","",""
"1963.8199997134507","","html-keyboard-response","33","173626","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","34","173880","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","190520","0.0-35.0","","stimulus/rr/rrrr_13.wav","null","","",""
"2787.849999964237","","html-keyboard-response","36","193309","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","37","193560","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","210220","0.0-38.0","","stimulus/an/ANAN_12.wav","null","","",""
"1817.9299999028444","","html-keyboard-response","39","212039","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","212290","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","228980","0.0-41.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"8640.724999830127","","html-keyboard-response","42","237622","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","237874","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","254650","0.0-44.0","","stimulus/probes/rrrr_17.wav","null","","",""
"2014.0499998815358","","html-keyboard-response","45","256665","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","46","256918","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","273760","0.0-47.0","","stimulus/rr/rrrr_10.wav","null","","",""
"1430.6499999947846","","html-keyboard-response","48","275191","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","275443","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","292089","0.0-50.0","","stimulus/an/ANAN_10.wav","null","","",""
