"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"13673.205000115559","consent_form.html","external-html","0","13707","0.0-0.0","","","","","",""
"17242.88500007242","instructions.html","external-html","1","31011","0.0-1.0","","","","","",""
"4889.264999888837","","survey-text","2","35904","0.0-2.0","{""Q0"":""English""}","","","","",""
"3216.179999988526","","html-button-response","3","39122","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"1772.690000012517","","audio-button-response","4","40897","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1079.524999950081","","html-button-response","5","41977","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","41978","0.0-6.0","","","","","",""
"","","call-function","7","41978","0.0-7.0","","","","","",""
"1598.7899999599904","","audio-button-response","8","43577","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1376.1850001756102","","html-button-response","9","44955","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"4168.460000073537","","survey-text","10","49125","0.0-10.0","{""Q0"":""5e642125757e611ae1a52811""}","","","","",""
"","","survey-text","10","49125","0.0-10.0","","","","","4",""
"1399.8950000386685","","html-button-response","11","50526","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","51027","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","51028","0.0-13.0","","stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_13.wav,stimulus/an/ANAN_10.wav,stimulus/mp/phrase_mix_12.wav,stimulus/probes/ANAN_89.wav,stimulus/mp/phrase_mix_13.wav,stimulus/rr/rrrr_10.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_12.wav,stimulus/mp/phrase_mix_11.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_12.wav,stimulus/an/ANAN_13.wav,stimulus/mp/phrase_mix_10.wav","","","",""
"","","call-function","13","51029","0.0-13.0","","","","","",""
