"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"4839.680000004591","consent_form.html","external-html","0","4883","0.0-0.0","","","","","",""
"24519.014999998035","instructions.html","external-html","1","29444","0.0-1.0","","","","","",""
"4732.1349999983795","","survey-text","2","34180","0.0-2.0","{""Q0"":""turkish""}","","","","",""
"5702.550000001793","","html-button-response","3","39884","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"3165.3499999956694","","audio-button-response","4","43052","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1176.2500000040745","","html-button-response","5","44229","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","44230","0.0-6.0","","","","","",""
"","","call-function","7","44230","0.0-7.0","","","","","",""
"1780.8850000001257","","audio-button-response","8","46012","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"693.6049999931129","","html-button-response","9","46706","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"8991.060000000289","","survey-text","10","55700","0.0-10.0","{""Q0"":""559d96aefdf99b1e448268e5""}","","","","",""
"","","survey-text","10","55700","0.0-10.0","","","","","5",""
"1206.8050000088988","","html-button-response","11","56908","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","57410","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","57412","0.0-13.0","","stimulus/mp/phrase_mix_12.wav,stimulus/an/ANAN_12.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_13.wav,stimulus/probes/ANAN_89.wav,stimulus/mp/phrase_mix_13.wav,stimulus/rr/rrrr_12.wav,stimulus/an/ANAN_10.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_11.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_10.wav,stimulus/mp/phrase_mix_11.wav","","","",""
"","","call-function","13","57412","0.0-13.0","","","","","",""
"null","","audio-button-response","14","74051","0.0-14.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"3924.539999992703","","html-keyboard-response","15","77980","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","78232","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","94871","0.0-17.0","","stimulus/an/ANAN_12.wav","null","","",""
"869.0650000062305","","html-keyboard-response","18","95742","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","95996","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","112631","0.0-20.0","","stimulus/rr/rrrr_10.wav","null","","",""
"641.4199999999255","","html-keyboard-response","21","113273","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","22","113525","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","130161","0.0-23.0","","stimulus/an/ANAN_13.wav","null","","",""
"776.9250000128523","","html-keyboard-response","24","130939","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","131192","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","147831","0.0-26.0","","stimulus/probes/ANAN_89.wav","null","","",""
"2132.595000002766","","html-keyboard-response","27","149966","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","28","150221","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","166893","0.0-29.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"5774.039999989327","","html-keyboard-response","30","172669","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","172922","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","189560","0.0-32.0","","stimulus/rr/rrrr_12.wav","null","","",""
"1364.2799999943236","","html-keyboard-response","33","190926","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","34","191179","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","207820","0.0-35.0","","stimulus/an/ANAN_10.wav","null","","",""
"1486.1450000025798","","html-keyboard-response","36","209309","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","209562","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","226200","0.0-38.0","","stimulus/rr/rrrr_11.wav","null","","",""
"8066.005000000587","","html-keyboard-response","39","234268","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","234520","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","251160","0.0-41.0","","stimulus/an/ANAN_11.wav","null","","",""
"2290.4950000083772","","html-keyboard-response","42","253452","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","253706","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","270340","0.0-44.0","","stimulus/probes/rrrr_17.wav","null","","",""
"1207.1500000020023","","html-keyboard-response","45","271549","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","46","271803","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","288439","0.0-47.0","","stimulus/rr/rrrr_13.wav","null","","",""
"931.9399999949383","","html-keyboard-response","48","289373","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","289626","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","306258","0.0-50.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1000.4449999978533","","html-keyboard-response","51","307260","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","307512","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","324148","0.0-53.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1112.1899999998277","","html-keyboard-response","54","325262","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"19955.515000008745","","html-button-response","55","345219","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"3270.329999999376","","html-keyboard-response","56","348491","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","89"
"7553.48000000231","","survey-text","57","356068","0.0-57.0","{""Q0"":""large sheep""}","","","","",""
"8829.96999999159","","survey-text","58","364900","0.0-58.0","{""Q0"":""rough girl""}","","","","",""
"2054.7550000046613","","survey-text","59","366957","0.0-59.0","{""Q0"":""""}","","","","",""
