"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"53996.720000053756","consent_form.html","external-html","0","54065","0.0-0.0","","","","","",""
"53536.13000002224","instructions.html","external-html","1","107803","0.0-1.0","","","","","",""
"7357.904999982566","","survey-text","2","115169","0.0-2.0","{""Q0"":""english""}","","","","",""
"3368.12999995891","","html-button-response","3","118541","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"3027.639999985695","","audio-button-response","4","121575","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1712.9399999976158","","html-button-response","5","123290","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","123291","0.0-6.0","","","","","",""
"","","call-function","7","123292","0.0-7.0","","","","","",""
"2313.9950000913814","","audio-button-response","8","125608","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1472.8800000157207","","html-button-response","9","127083","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"4014.4749999744818","","survey-text","10","131102","0.0-10.0","{""Q0"":""5c0cfb5e73986d00017856d3""}","","","","",""
"","","survey-text","10","131103","0.0-10.0","","","","","9",""
"1797.0200000563636","","html-button-response","11","132902","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","133405","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","133406","0.0-13.0","","stimulus/rr/rrrr_12.wav,stimulus/mp/phrase_mix_11.wav,stimulus/mp/phrase_mix_10.wav,stimulus/an/ANAN_13.wav,stimulus/probes/phrase_mix_38.wav,stimulus/an/ANAN_10.wav,stimulus/rr/rrrr_10.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_12.wav,stimulus/mp/phrase_mix_13.wav,stimulus/probes/ANAN_89.wav,stimulus/an/ANAN_11.wav,stimulus/an/ANAN_12.wav,stimulus/rr/rrrr_11.wav","","","",""
"","","call-function","13","133406","0.0-13.0","","","","","",""
"null","","audio-button-response","14","150047","0.0-14.0","","stimulus/rr/rrrr_12.wav","null","","",""
"3062.294999952428","","html-keyboard-response","15","153111","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","153363","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","169996","0.0-17.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"4003.140000044368","","html-keyboard-response","18","174000","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","174259","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","190897","0.0-20.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1769.7649999754503","","html-keyboard-response","21","192668","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","192920","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","209557","0.0-23.0","","stimulus/an/ANAN_13.wav","null","","",""
"1834.984999964945","","html-keyboard-response","24","211393","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","211647","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","228287","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"1675.8250000420958","","html-keyboard-response","27","229964","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
