"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"18436.060000094585","consent_form.html","external-html","0","18463","0.0-0.0","","","","","",""
"36470.719999982975","instructions.html","external-html","1","54979","0.0-1.0","","","","","",""
"6124.050000100397","","survey-text","2","61108","0.0-2.0","{""Q0"":""English""}","","","","",""
"8885.984999942593","","html-button-response","3","69995","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2202.1350000286475","","audio-button-response","4","72200","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1861.659999936819","","html-button-response","5","74062","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","74064","0.0-6.0","","","","","",""
"","","call-function","7","74064","0.0-7.0","","","","","",""
"1664.5649999845773","","audio-button-response","8","75729","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1291.2600000854582","","html-button-response","9","77021","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"7652.594999992289","","survey-text","10","84677","0.0-10.0","{""Q0"":""5c0ae27afb5111000128c128""}","","","","",""
"","","survey-text","10","84677","0.0-10.0","","","","","0",""
"6437.770000076853","","html-button-response","11","91116","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","91618","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","91619","0.0-13.0","","stimulus/mp/phrase_mix_10.wav,stimulus/an/ANAN_12.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_11.wav,stimulus/probes/phrase_mix_38.wav,stimulus/rr/rrrr_12.wav,stimulus/mp/phrase_mix_12.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_11.wav,stimulus/mp/phrase_mix_13.wav,stimulus/probes/ANAN_89.wav,stimulus/an/ANAN_13.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_10.wav","","","",""
"","","call-function","13","91619","0.0-13.0","","","","","",""
"null","","audio-button-response","14","108256","0.0-14.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"11557.53500002902","","html-keyboard-response","15","119814","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","16","120066","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","136705","0.0-17.0","","stimulus/an/ANAN_12.wav","null","","",""
"2457.8850000398234","","html-keyboard-response","18","139164","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","139415","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","156055","0.0-20.0","","stimulus/rr/rrrr_13.wav","null","","",""
"1782.1449999464676","","html-keyboard-response","21","157838","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","158089","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","174725","0.0-23.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"2129.0299999527633","","html-keyboard-response","24","176855","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","177106","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","193746","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"2441.10999989789","","html-keyboard-response","27","196187","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","196439","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","213075","0.0-29.0","","stimulus/rr/rrrr_12.wav","null","","",""
"2855.5499999783933","","html-keyboard-response","30","215931","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","216182","0.0-31.0","","<html></html>","null","","",""
