"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"8667.075000004843","consent_form.html","external-html","0","8718","0.0-0.0","","","","","",""
"40300.76500005089","instructions.html","external-html","1","49096","0.0-1.0","","","","","",""
"5589.804999995977","","survey-text","2","54703","0.0-2.0","{""Q0"":""English""}","","","","",""
"2509.7749999258667","","html-button-response","3","57218","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"3577.76500005275","","audio-button-response","4","60804","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"11806.755000026897","","html-button-response","5","72616","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","72620","0.0-6.0","","","","","",""
"","","call-function","7","72621","0.0-7.0","","","","","",""
"2416.01000004448","","audio-button-response","8","75040","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1223.5900000669062","","html-button-response","9","76269","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"2826.2550001963973","","survey-text","10","79106","0.0-10.0","{""Q0"":""592dd9d088f90100016724a3""}","","","","",""
"","","survey-text","10","79107","0.0-10.0","","","","","8",""
"7546.520000090823","","html-button-response","11","86657","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","87165","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","87167","0.0-13.0","","stimulus/mp/phrase_mix_10.wav,stimulus/mp/phrase_mix_12.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_13.wav,stimulus/probes/ANAN_89.wav,stimulus/mp/phrase_mix_13.wav,stimulus/an/ANAN_12.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_13.wav,stimulus/an/ANAN_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/mp/phrase_mix_11.wav,stimulus/rr/rrrr_12.wav,stimulus/rr/rrrr_10.wav","","","",""
"","","call-function","13","87167","0.0-13.0","","","","","",""
"null","","audio-button-response","14","103805","0.0-14.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"3443.4950000140816","","html-keyboard-response","15","107252","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","107508","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","124145","0.0-17.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"4072.710000211373","","html-keyboard-response","18","128220","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","128474","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","145114","0.0-20.0","","stimulus/rr/rrrr_11.wav","null","","",""
"1767.7899999544024","","html-keyboard-response","21","146884","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","147138","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","163774","0.0-23.0","","stimulus/an/ANAN_13.wav","null","","",""
"1379.014999838546","","html-keyboard-response","24","165155","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","25","165410","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","182044","0.0-26.0","","stimulus/probes/ANAN_89.wav","null","","",""
"1359.6850000321865","","html-keyboard-response","27","183405","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","183660","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","200294","0.0-29.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1237.2000000905246","","html-keyboard-response","30","201533","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","201786","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","218424","0.0-32.0","","stimulus/an/ANAN_12.wav","null","","",""
"1614.5899998955429","","html-keyboard-response","33","220041","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","34","220299","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","236934","0.0-35.0","","stimulus/an/ANAN_11.wav","null","","",""
