"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"4146.3","consent_form.html","external-html","0","4174","0.0-0.0","","","","","",""
"19396","instructions.html","external-html","1","23604","0.0-1.0","","","","","",""
"6447.499999999996","","survey-text","2","30052","0.0-2.0","{""Q0"":""english""}","","","","",""
"4148.299999999996","","html-button-response","3","34204","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2389.2000000000043","","audio-button-response","4","36658","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"2339.699999999997","","html-button-response","5","38999","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","39000","0.0-6.0","","","","","",""
"","","call-function","7","39001","0.0-7.0","","","","","",""
"1832.800000000003","","audio-button-response","8","40836","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1174.0999999999985","","html-button-response","9","42011","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"2975.5999999999985","","survey-text","10","44993","0.0-10.0","{""Q0"":""59ba3ba911212f0001cd1284""}","","","","",""
"","","survey-text","10","44993","0.0-10.0","","","","","5",""
"1056","","html-button-response","11","46051","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","46560","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","46560","0.0-13.0","","stimulus/an/ANAN_12.wav,stimulus/mp/phrase_mix_13.wav,stimulus/an/ANAN_10.wav,stimulus/an/ANAN_13.wav,stimulus/probes/rrrr_17.wav,stimulus/rr/rrrr_11.wav,stimulus/rr/rrrr_12.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_10.wav,stimulus/rr/rrrr_13.wav,stimulus/probes/ANAN_89.wav,stimulus/mp/phrase_mix_12.wav,stimulus/mp/phrase_mix_10.wav,stimulus/mp/phrase_mix_11.wav","","","",""
"","","call-function","13","46560","0.0-13.0","","","","","",""
"null","","audio-button-response","14","63196","0.0-14.0","","stimulus/an/ANAN_12.wav","null","","",""
"3642.9000000000087","","html-keyboard-response","15","66840","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","16","67110","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","83746","0.0-17.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1405.699999999997","","html-keyboard-response","18","85152","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","85434","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","102067","0.0-20.0","","stimulus/an/ANAN_10.wav","null","","",""
"1069.2999999999883","","html-keyboard-response","21","103136","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","22","103400","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","120036","0.0-23.0","","stimulus/an/ANAN_13.wav","null","","",""
"507.6000000000058","","html-keyboard-response","24","120544","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","25","120823","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","137456","0.0-26.0","","stimulus/probes/rrrr_17.wav","null","","",""
"1063.6000000000058","","html-keyboard-response","27","138520","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","28","138790","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","155426","0.0-29.0","","stimulus/rr/rrrr_11.wav","null","","",""
"1125.7000000000116","","html-keyboard-response","30","156552","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","156831","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","173466","0.0-32.0","","stimulus/rr/rrrr_12.wav","null","","",""
"1043.7999999999883","","html-keyboard-response","33","174512","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","34","174785","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","191416","0.0-35.0","","stimulus/an/ANAN_11.wav","null","","",""
"1143.3999999999941","","html-keyboard-response","36","192560","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","37","192835","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","209476","0.0-38.0","","stimulus/rr/rrrr_10.wav","null","","",""
"1243.2000000000116","","html-keyboard-response","39","210721","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","210995","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","227626","0.0-41.0","","stimulus/rr/rrrr_13.wav","null","","",""
"1077.5","","html-keyboard-response","42","228705","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","228955","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","245596","0.0-44.0","","stimulus/probes/ANAN_89.wav","null","","",""
"1203.7000000000116","","html-keyboard-response","45","246800","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","46","247075","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","263706","0.0-47.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"1069.5","","html-keyboard-response","48","264776","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","265051","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","281686","0.0-50.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1329.2999999999883","","html-keyboard-response","51","283017","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","283295","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","299937","0.0-53.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1463.2000000000116","","html-keyboard-response","54","301402","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"2139.399999999965","","html-button-response","55","303544","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"3751.2999999999883","","html-keyboard-response","56","307297","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","78"
"12433.900000000023","","survey-text","57","319736","0.0-57.0","{""Q0"":""fish ill sheep""}","","","","",""
"22673.29999999999","","survey-text","58","342414","0.0-58.0","{""Q0"":""tall girl tree cat short me""}","","","","",""
"2315.6999999999534","","survey-text","59","344739","0.0-59.0","{""Q0"":""no""}","","","","",""
