"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"7535.600000000002","consent_form.html","external-html","0","7909","0.0-0.0","","","","","",""
"3689","instructions.html","external-html","1","11915","0.0-1.0","","","","","",""
"5380.800000000003","","survey-text","2","17295","0.0-2.0","{""Q0"":""english""}","","","","",""
"2650","","html-button-response","3","19949","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"1717.2999999999956","","audio-button-response","4","21933","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1061.1000000000058","","html-button-response","5","22996","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","22997","0.0-6.0","","","","","",""
"","","call-function","7","22998","0.0-7.0","","","","","",""
"1268.199999999997","","audio-button-response","8","24268","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"806.2000000000044","","html-button-response","9","25076","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"11141.099999999998","","survey-text","10","36222","0.0-10.0","{""Q0"":""5cd66badb0e8ad0001d1e171""}","","","","",""
"","","survey-text","10","36222","0.0-10.0","","","","","2",""
"1370.2999999999956","","html-button-response","11","37596","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","38122","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","38123","0.0-13.0","","stimulus/rr/rrrr_13.wav,stimulus/an/ANAN_11.wav,stimulus/an/ANAN_13.wav,stimulus/rr/rrrr_12.wav,stimulus/probes/phrase_mix_38.wav,stimulus/mp/phrase_mix_11.wav,stimulus/mp/phrase_mix_12.wav,stimulus/rr/rrrr_10.wav,stimulus/an/ANAN_10.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/rrrr_17.wav,stimulus/mp/phrase_mix_13.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_12.wav","","","",""
"","","call-function","13","38123","0.0-13.0","","","","","",""
"null","","audio-button-response","14","54762","0.0-14.0","","stimulus/rr/rrrr_13.wav","null","","",""
"2726.699999999997","","html-keyboard-response","15","57491","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","57752","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","74393","0.0-17.0","","stimulus/an/ANAN_11.wav","null","","",""
"1381","","html-keyboard-response","18","75775","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","76049","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","92684","0.0-20.0","","stimulus/an/ANAN_13.wav","null","","",""
"1479.2000000000116","","html-keyboard-response","21","94164","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","22","94432","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","111063","0.0-23.0","","stimulus/rr/rrrr_12.wav","null","","",""
"4047.899999999994","","html-keyboard-response","24","115112","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","115381","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","132024","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"7324.700000000012","","html-keyboard-response","27","139351","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","139632","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","156273","0.0-29.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"2116.399999999994","","html-keyboard-response","30","158391","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","158671","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","175304","0.0-32.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"2683.100000000006","","html-keyboard-response","33","177991","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","34","178262","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","194903","0.0-35.0","","stimulus/rr/rrrr_10.wav","null","","",""
"1376.3000000000174","","html-keyboard-response","36","196280","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","196561","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","213193","0.0-38.0","","stimulus/an/ANAN_10.wav","null","","",""
"2564.7000000000116","","html-keyboard-response","39","215759","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","40","216031","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","232674","0.0-41.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1423.4000000000232","","html-keyboard-response","42","234099","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","234372","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","251013","0.0-44.0","","stimulus/probes/rrrr_17.wav","null","","",""
"9746.5","","html-keyboard-response","45","260760","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","46","261021","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","277653","0.0-47.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"10308.399999999965","","html-keyboard-response","48","287963","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","288231","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","304873","0.0-50.0","","stimulus/rr/rrrr_11.wav","null","","",""
"1214.5999999999767","","html-keyboard-response","51","306090","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","306361","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","323004","0.0-53.0","","stimulus/an/ANAN_12.wav","null","","",""
"1210.9000000000232","","html-keyboard-response","54","324217","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"4671.900000000023","","html-button-response","55","328891","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"3457.2000000000116","","html-keyboard-response","56","332350","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","89"
"22267.29999999999","","survey-text","57","354629","0.0-57.0","{""Q0"":""hot white string her ""}","","","","",""
"3711.2999999999883","","survey-text","58","358346","0.0-58.0","{""Q0"":""""}","","","","",""
"1563.399999999965","","survey-text","59","359914","0.0-59.0","{""Q0"":""""}","","","","",""
