"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"15058.000000000002","consent_form.html","external-html","0","15125","0.0-0.0","","","","","",""
"24786","instructions.html","external-html","1","40012","0.0-1.0","","","","","",""
"6887","","survey-text","2","46922","0.0-2.0","{""Q0"":""English""}","","","","",""
"4445","","html-button-response","3","51372","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"2265.9999999999927","","audio-button-response","4","53653","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"10066.999999999985","","html-button-response","5","63727","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","63729","0.0-6.0","","","","","",""
"","","call-function","7","63729","0.0-7.0","","","","","",""
"13169.994999999995","","audio-button-response","8","76901","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1318.0050000000047","","html-button-response","9","78223","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"4054","","survey-text","10","82287","0.0-10.0","{""Q0"":""5745ef705bef98000fadc462""}","","","","",""
"","","survey-text","10","82290","0.0-10.0","","","","","3",""
"2376","","html-button-response","11","84671","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","85176","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","85179","0.0-13.0","","stimulus/rr/rrrr_10.wav,stimulus/mp/phrase_mix_12.wav,stimulus/rr/rrrr_12.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/an/ANAN_12.wav,stimulus/rr/rrrr_11.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_13.wav,stimulus/an/ANAN_11.wav,stimulus/probes/ANAN_89.wav,stimulus/an/ANAN_10.wav,stimulus/mp/phrase_mix_11.wav,stimulus/an/ANAN_13.wav","","","",""
"","","call-function","13","85179","0.0-13.0","","","","","",""
"null","","audio-button-response","14","101780","0.0-14.0","","stimulus/rr/rrrr_10.wav","null","","",""
"5543","","html-keyboard-response","15","107328","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","107581","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","124222","0.0-17.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"2159.9999999999854","","html-keyboard-response","18","126384","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","126637","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","143246","0.0-20.0","","stimulus/rr/rrrr_12.wav","null","","",""
"2637","","html-keyboard-response","21","145885","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","146138","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","162754","0.0-23.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"2659.0049999999756","","html-keyboard-response","24","165414","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","165667","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","182294","0.0-26.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"3181.999999999971","","html-keyboard-response","27","185488","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","28","185740","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","202361","0.0-29.0","","stimulus/an/ANAN_12.wav","null","","",""
"2689.0050000000047","","html-keyboard-response","30","205051","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","205303","0.0-31.0","","<html></html>","null","","",""
