"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"16171.289999998407","consent_form.html","external-html","0","16212","0.0-0.0","","","","","",""
"65125.23499999952","instructions.html","external-html","1","81402","0.0-1.0","","","","","",""
"7562.87500000326","","survey-text","2","88989","0.0-2.0","{""Q0"":""english""}","","","","",""
"6112.825000003795","","html-button-response","3","95107","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"6981.629999994766","","audio-button-response","4","102096","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"2135.1050000084797","","html-button-response","5","104235","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","104238","0.0-6.0","","","","","",""
"","","call-function","7","104238","0.0-7.0","","","","","",""
"5052.704999994603","","audio-button-response","8","109294","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1462.6550000102725","","html-button-response","9","110760","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"3437.274999989313","","survey-text","10","114203","0.0-10.0","{""Q0"":""5dc46a11b9fad332e487da3a""}","","","","",""
"","","survey-text","10","114204","0.0-10.0","","","","","3",""
"2135.824999990291","","html-button-response","11","116343","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","116847","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","116849","0.0-13.0","","stimulus/an/ANAN_12.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_10.wav,stimulus/probes/rrrr_17.wav,stimulus/mp/phrase_mix_12.wav,stimulus/rr/rrrr_10.wav,stimulus/mp/phrase_mix_13.wav,stimulus/mp/phrase_mix_11.wav,stimulus/rr/rrrr_12.wav,stimulus/probes/phrase_mix_38.wav,stimulus/an/ANAN_10.wav,stimulus/rr/rrrr_11.wav,stimulus/an/ANAN_13.wav","","","",""
"","","call-function","13","116849","0.0-13.0","","","","","",""
"null","","audio-button-response","14","133490","0.0-14.0","","stimulus/an/ANAN_12.wav","null","","",""
"4292.634999990696","","html-keyboard-response","15","137786","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","138037","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","154673","0.0-17.0","","stimulus/an/ANAN_11.wav","null","","",""
"1755.554999996093","","html-keyboard-response","18","156430","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","19","156683","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","173319","0.0-20.0","","stimulus/rr/rrrr_13.wav","null","","",""
"1587.7249999903142","","html-keyboard-response","21","174909","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","175160","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","191794","0.0-23.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"1632.339999996475","","html-keyboard-response","24","193427","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","89"
"null","","html-button-response","25","193680","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","210322","0.0-26.0","","stimulus/probes/rrrr_17.wav","null","","",""
"1547.5750000041444","","html-keyboard-response","27","211872","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","28","212124","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","228764","0.0-29.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"801.9200000126148","","html-keyboard-response","30","229567","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","229820","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","246462","0.0-32.0","","stimulus/rr/rrrr_10.wav","null","","",""
