"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","responses","stimulus","button_pressed","value","participant","key_press"
"20550.399999992806","consent_form.html","external-html","0","20575","0.0-0.0","","","","","",""
"2979.5849999936763","instructions.html","external-html","1","23606","0.0-1.0","","","","","",""
"4366.359999999986","","survey-text","2","28002","0.0-2.0","{""Q0"":""English""}","","","","",""
"1683.1299999903422","","html-button-response","3","29697","0.0-3.0","","<p>We need to check your headphones or speakers are working well enough for the experiment to run.</p><p>When you click continue you will hear a voice name a <b>colour</b> and you will be asked to identify the colour.</p>","0","","",""
"3292.8550000069663","","audio-button-response","4","33001","0.0-4.0","","stimulus/colour1.ogg","6","","",""
"1775.050000011106","","html-button-response","5","34782","0.0-5.0","","<p>Great, that worked; just one more check! </p>","0","","",""
"","","call-function","6","34787","0.0-6.0","","","","","",""
"","","call-function","7","34788","0.0-7.0","","","","","",""
"2592.8249999997206","","audio-button-response","8","37388","0.0-8.0","","stimulus/colour3.ogg","7","","",""
"1755.8500000013737","","html-button-response","9","39152","0.0-9.0","","<p>Great, that worked! </p>","0","","",""
"6209.42999998806","","survey-text","10","45397","0.0-10.0","{""Q0"":""5b2a72f7c293b90001732b89""}","","","","",""
"","","survey-text","10","45399","0.0-10.0","","","","","9",""
"6961.039999994682","","html-button-response","11","52367","0.0-11.0","","<p>Press continue to start the experiment! The word streams will start after you press <b>continue</b></p>","0","","",""
"null","","html-button-response","12","52881","0.0-12.0","","<html></html>","null","","",""
"","","call-function","13","52884","0.0-13.0","","stimulus/mp/phrase_mix_10.wav,stimulus/mp/phrase_mix_13.wav,stimulus/mp/phrase_mix_12.wav,stimulus/an/ANAN_10.wav,stimulus/probes/rrrr_17.wav,stimulus/an/ANAN_13.wav,stimulus/rr/rrrr_13.wav,stimulus/mp/phrase_mix_11.wav,stimulus/an/ANAN_12.wav,stimulus/rr/rrrr_10.wav,stimulus/probes/phrase_mix_38.wav,stimulus/rr/rrrr_12.wav,stimulus/an/ANAN_11.wav,stimulus/rr/rrrr_11.wav","","","",""
"","","call-function","13","52884","0.0-13.0","","","","","",""
"null","","audio-button-response","14","69522","0.0-14.0","","stimulus/mp/phrase_mix_10.wav","null","","",""
"6837.484999996377","","html-keyboard-response","15","76366","0.0-15.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","16","76621","0.0-16.0","","<html></html>","null","","",""
"null","","audio-button-response","17","93264","0.0-17.0","","stimulus/mp/phrase_mix_13.wav","null","","",""
"1956.2100000039209","","html-keyboard-response","18","95223","0.0-18.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","19","95491","0.0-19.0","","<html></html>","null","","",""
"null","","audio-button-response","20","112131","0.0-20.0","","stimulus/mp/phrase_mix_12.wav","null","","",""
"1862.5250000040978","","html-keyboard-response","21","113997","0.0-21.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","22","114271","0.0-22.0","","<html></html>","null","","",""
"null","","audio-button-response","23","130910","0.0-23.0","","stimulus/an/ANAN_10.wav","null","","",""
"1793.8149999972666","","html-keyboard-response","24","132708","0.0-24.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","25","132970","0.0-25.0","","<html></html>","null","","",""
"null","","audio-button-response","26","149610","0.0-26.0","","stimulus/probes/rrrr_17.wav","null","","",""
"2856.7800000018906","","html-keyboard-response","27","152473","0.0-27.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","28","152730","0.0-28.0","","<html></html>","null","","",""
"null","","audio-button-response","29","169372","0.0-29.0","","stimulus/an/ANAN_13.wav","null","","",""
"1944.3999999930384","","html-keyboard-response","30","171320","0.0-30.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","31","171590","0.0-31.0","","<html></html>","null","","",""
"null","","audio-button-response","32","188236","0.0-32.0","","stimulus/rr/rrrr_13.wav","null","","",""
"1757.050000000163","","html-keyboard-response","33","189996","0.0-33.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","34","190254","0.0-34.0","","<html></html>","null","","",""
"null","","audio-button-response","35","206896","0.0-35.0","","stimulus/mp/phrase_mix_11.wav","null","","",""
"1793.5900000011316","","html-keyboard-response","36","208693","0.0-36.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","37","208955","0.0-37.0","","<html></html>","null","","",""
"null","","audio-button-response","38","225595","0.0-38.0","","stimulus/an/ANAN_12.wav","null","","",""
"2342.029999999795","","html-keyboard-response","39","227941","0.0-39.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","40","228202","0.0-40.0","","<html></html>","null","","",""
"null","","audio-button-response","41","244845","0.0-41.0","","stimulus/rr/rrrr_10.wav","null","","",""
"1880.0500000070315","","html-keyboard-response","42","246726","0.0-42.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","43","246983","0.0-43.0","","<html></html>","null","","",""
"null","","audio-button-response","44","263625","0.0-44.0","","stimulus/probes/phrase_mix_38.wav","null","","",""
"1691.1699999909615","","html-keyboard-response","45","265317","0.0-45.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","46","265573","0.0-46.0","","<html></html>","null","","",""
"null","","audio-button-response","47","282214","0.0-47.0","","stimulus/rr/rrrr_12.wav","null","","",""
"2088.999999992666","","html-keyboard-response","48","284304","0.0-48.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","49","284563","0.0-49.0","","<html></html>","null","","",""
"null","","audio-button-response","50","301204","0.0-50.0","","stimulus/an/ANAN_11.wav","null","","",""
"3226.1599999910686","","html-keyboard-response","51","304431","0.0-51.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"null","","html-button-response","52","304694","0.0-52.0","","<html></html>","null","","",""
"null","","audio-button-response","53","321334","0.0-53.0","","stimulus/rr/rrrr_11.wav","null","","",""
"1920.350000000326","","html-keyboard-response","54","323255","0.0-54.0","","<p>Did you hear any <b>four-word</b> phrases?","","","","78"
"2788.845000002766","","html-button-response","55","326045","0.0-55.0","","<p>We will now ask you some additional questions.</p>","0","","",""
"20442.40999998874","","html-keyboard-response","56","346488","0.0-56.0","","<p>In the <b>last stream of words</b> you hear any <b>two-word</b> phrases?","","","","78"
"43032.27500000503","","survey-text","57","389535","0.0-57.0","{""Q0"":""Green, fetch, chew, solve""}","","","","",""
"63985.55500000657","","survey-text","58","453526","0.0-58.0","{""Q0"":""Tall, girl, man, gold, sheep, food, want, now, fish, ""}","","","","",""
"6600.48999999708","","survey-text","59","460133","0.0-59.0","{""Q0"":""No.""}","","","","",""
